População = 64, Experimentos = 150
1 threads
Probabilidade, Percentual Infectado
1671.01user 0.72system 6:58.95elapsed 399%CPU (0avgtext+0avgdata 4808maxresident)k
0inputs+0outputs (0major+236minor)pagefaults 0swaps
População = 20, Experimentos = 5000
1 threads
Probabilidade, Percentual Infectado
0.000000, 0.000000
0.010000, 0.000099
0.020000, 0.000214
0.030000, 0.000384
0.040000, 0.000503
0.050000, 0.000740
0.060000, 0.000981
0.070000, 0.002003
0.080000, 0.004629
0.090000, 0.010919
0.100000, 0.017710
0.110000, 0.031398
0.120000, 0.052598
0.130000, 0.080567
0.140000, 0.112110
0.150000, 0.148040
0.160000, 0.177814
0.170000, 0.223648
0.180000, 0.267986
0.190000, 0.301490
0.200000, 0.340810
0.210000, 0.386938
0.220000, 0.424607
0.230000, 0.468582
0.240000, 0.486592
0.250000, 0.528451
0.260000, 0.560366
0.270000, 0.591082
0.280000, 0.619868
0.290000, 0.647403
0.300000, 0.678472
0.310000, 0.689760
0.320000, 0.725617
0.330000, 0.733602
0.340000, 0.751829
0.350000, 0.760068
0.360000, 0.788882
0.370000, 0.803086
0.380000, 0.814509
0.390000, 0.831667
0.400000, 0.844316
0.410000, 0.853165
0.420000, 0.863638
0.430000, 0.880654
0.440000, 0.879172
0.450000, 0.882605
0.460000, 0.900779
0.470000, 0.910287
0.480000, 0.917686
0.490000, 0.925548
0.500000, 0.934388
0.510000, 0.935651
0.520000, 0.951097
0.530000, 0.945495
0.540000, 0.950672
0.550000, 0.953123
0.560000, 0.958212
0.570000, 0.964418
0.580000, 0.964831
0.590000, 0.971073
0.600000, 0.971081
0.610000, 0.974300
0.620000, 0.978522
0.630000, 0.979757
0.640000, 0.983177
0.650000, 0.984590
0.660000, 0.988201
0.670000, 0.988825
0.680000, 0.991024
0.690000, 0.989044
0.700000, 0.989257
0.710000, 0.994647
0.720000, 0.994457
0.730000, 0.994251
0.740000, 0.996473
0.750000, 0.995890
0.760000, 0.997898
0.770000, 0.996518
0.780000, 0.998900
0.790000, 0.997918
0.800000, 0.998516
0.810000, 0.998724
0.820000, 0.997333
0.830000, 0.998544
0.840000, 0.998946
0.850000, 0.999352
0.860000, 0.999756
0.870000, 0.999358
0.880000, 0.999769
0.890000, 0.999774
0.900000, 0.999978
0.910000, 0.999982
0.920000, 0.999986
0.930000, 0.999985
0.940000, 0.999992
0.950000, 0.999998
0.960000, 0.999996
0.970000, 0.999998
0.980000, 0.999999
0.990000, 1.000000
1.000000, 1.000000
61.76user 0.01system 1:01.78elapsed 99%CPU (0avgtext+0avgdata 4536maxresident)k
0inputs+0outputs (0major+181minor)pagefaults 0swaps
2 threads
Probabilidade, Percentual Infectado
0.000000, 0.000000
0.010000, 0.000099
0.020000, 0.000214
0.030000, 0.000384
0.040000, 0.000491
0.050000, 0.000713
0.060000, 0.000933
0.070000, 0.001317
0.080000, 0.002504
0.090000, 0.003150
0.100000, 0.006370
0.110000, 0.012526
0.120000, 0.024075
0.130000, 0.036301
0.140000, 0.056502
0.150000, 0.075457
0.160000, 0.106839
0.170000, 0.137759
0.180000, 0.181316
0.190000, 0.207567
0.200000, 0.239315
0.210000, 0.282780
0.220000, 0.325539
0.230000, 0.363743
0.240000, 0.394789
0.250000, 0.429633
0.260000, 0.467341
0.270000, 0.500583
0.280000, 0.521795
0.290000, 0.574773
0.300000, 0.598532
0.310000, 0.622098
0.320000, 0.644940
0.330000, 0.672969
0.340000, 0.696430
0.350000, 0.719352
0.360000, 0.751679
0.370000, 0.770296
0.380000, 0.774017
0.390000, 0.796458
0.400000, 0.806788
0.410000, 0.831379
0.420000, 0.847584
0.430000, 0.846706
0.440000, 0.866262
0.450000, 0.873296
0.460000, 0.886956
0.470000, 0.889368
0.480000, 0.901368
0.490000, 0.912377
0.500000, 0.923652
0.510000, 0.934643
0.520000, 0.933899
0.530000, 0.941342
0.540000, 0.944737
0.550000, 0.951181
0.560000, 0.954786
0.570000, 0.959617
0.580000, 0.966438
0.590000, 0.969064
0.600000, 0.974880
0.610000, 0.974318
0.620000, 0.977535
0.630000, 0.975540
0.640000, 0.982350
0.650000, 0.984182
0.660000, 0.983593
0.670000, 0.986600
0.680000, 0.989221
0.690000, 0.990250
0.700000, 0.993245
0.710000, 0.990863
0.720000, 0.994076
0.730000, 0.994272
0.740000, 0.996100
0.750000, 0.997288
0.760000, 0.996500
0.770000, 0.997507
0.780000, 0.997513
0.790000, 0.997109
0.800000, 0.998320
0.810000, 0.997729
0.820000, 0.998527
0.830000, 0.998933
0.840000, 0.999345
0.850000, 0.999559
0.860000, 0.999767
0.870000, 0.999761
0.880000, 0.999568
0.890000, 0.999767
0.900000, 0.999982
0.910000, 0.999979
0.920000, 0.999980
0.930000, 0.999989
0.940000, 0.999990
0.950000, 0.999990
0.960000, 0.999998
0.970000, 0.999996
0.980000, 0.999999
0.990000, 1.000000
1.000000, 1.000000
122.99user 0.00system 1:01.50elapsed 199%CPU (0avgtext+0avgdata 4568maxresident)k
0inputs+0outputs (0major+185minor)pagefaults 0swaps
4 threads
Probabilidade, Percentual Infectado
0.000000, 0.000000
0.010000, 0.000098
0.020000, 0.000213
0.030000, 0.000378
0.040000, 0.000485
0.050000, 0.000693
0.060000, 0.000894
